gene,Kidney_T0-1.counts.rev.txt,Kidney_T0-2.counts.rev.txt,Kidney_T12.counts.rev.txt,Kidney_T24.counts.rev.txt,Kidney_T48.counts.rev.txt
GNPNAT1,1830.177434,1801.942784,2085.348332,1934.394899,2009.570567
GNPTAB,3917.807728,3332.972791,2381.09188,2993.38963,3893.125308
GNPTG,1831.254643,2069.127404,718.8706126,977.3971474,865.8814748
GNRH1,0,1.242719162,0,0.886930261,2.863996058
GNRH2,0,0,0,0.886930261,0
GNS,44009.35791,41660.91717,35096.38571,36089.19231,34844.3307
GOLGA1,1347.587976,1308.583277,1591.848556,1477.625814,1372.808777
GOLGA3,2376.322202,2137.476958,2471.062056,2408.015658,2229.143598
GOLGA4,2068.240538,2752.622943,1701.416196,1442.148604,1198.105017
GOLGA5,2280.450635,2144.933273,2589.537634,1686.941356,1831.048146
GOLGA7,3607.571647,3903.380887,4012.135364,3857.259704,3636.320328
GOLGA7B,12.92650336,27.33982155,92.64255726,34.59028017,50.59726369
GOLGB1,9205.824812,8859.344903,8235.388864,7381.92056,7250.683353
GOLIM4,12059.35043,11605.75425,6104.610047,7505.203867,7753.791994
GOLM1,11293.4551,10047.38442,7862.146253,8636.039949,6876.454535
GOLM2,4405.783229,4512.313276,3728.86293,4256.378321,4211.02887
GOLPH3L,5388.197485,5224.391355,5269.936238,5202.73291,5524.648395
GOLT1B,2448.495179,2874.409421,6927.703536,4840.865363,4763.780109
GORAB,510.5968828,582.8352868,1023.522099,745.0214191,629.1244674
GORASP1,2075.780998,2085.282753,2221.639787,2136.614998,2009.570567
GORASP2,8275.116569,8492.74275,7928.064996,7362.408095,7634.458825
GOSR1,4712.787684,4539.653097,3804.580404,3552.155694,3464.480565
GOT1,12963.12846,13001.32787,11325.55262,16304.43898,11248.82185
GOT1L1,0,0,0,0,0
GOT2,41272.17082,42865.11204,22939.72245,34401.36402,28401.29424
GP1BA,2.154417227,1.242719162,5.344762919,10.64316313,8.591988173
GP1BB,0,0,3.563175279,0,0
GP2,56.01484791,45.98060898,48.10286627,63.85897878,87.82921244
GP5,1.077208614,7.45631497,0.89079382,0.886930261,2.863996058
GP9,75.40460295,95.68937544,90.86096962,88.69302608,205.2530508
GP91-PHOX,592.4647375,569.165376,1356.678988,1769.42587,2919.366648
GPA33,2.154417227,4.970876646,5.344762919,3.547721043,8.591988173
GPAA1,3639.887905,4804.352279,2679.50781,3191.175078,3438.7046
GPAM,1302.345214,1431.612474,1440.413607,1606.230702,1644.888403
GPANK1,2032.692654,2296.545011,1359.351369,1584.057446,1452.046001
GPAT3,26738.47221,26512.17059,17064.04641,17064.53822,12767.69443
GPAT4,4226.9666,4629.128877,5962.083036,6179.243127,5108.414302
GPATCH1,1125.683001,924.5830562,958.4941501,849.6791898,902.1587582
GPATCH11,1108.447663,1165.670574,1263.145636,1211.546736,1255.384939
GPATCH2,982.4142556,938.252967,951.3677995,794.6895137,764.6869474
GPATCH2L,2008.994064,1859.107866,1476.936153,1522.859258,1471.139308
GPATCH3,1357.282853,1451.495981,1638.169835,1428.84465,1410.040726
GPATCH4,850.9948047,881.0878856,2097.819446,1377.402695,1416.723383
GPBAR1,17.23533782,8.699034131,16.92508258,20.399396,34.36795269
GPBP1,7905.634015,7448.858655,7353.502982,6440.000623,6307.473985
GPBP1L1,6945.84114,6690.799966,8042.086605,6895.882778,6104.130264
